key,text,tag,file,type,mod,protected_text,translated
VFE_ListenToMusic.reportString,listening to music.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,listening to music.,听音乐。
VFE_ComputerLearning.reportString,using computer.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,using computer.,使用电脑。
VFE_ComputerLearning.label,computer using,label,LearningDesireDef/LearningDesireDef.xml,def,Vanilla Furniture Expanded,computer using,电脑使用
VFE_ComputerLearning.description,"Use educational application, play educational games, watch (or listen) to educational videos. Requires a powered computer with a chair.",description,LearningDesireDef/LearningDesireDef.xml,def,Vanilla Furniture Expanded,"Use educational application, play educational games, watch (or listen) to educational videos. Requires a powered computer with a chair.",使用教育应用程序、玩教育游戏、观看（或收听）教育视频。需要一台带电源的电脑和一把椅子。
VFE_ComputerUsage.label,computer usage,label,JoyKindDef/JoyKindDef.xml,def,Vanilla Furniture Expanded,computer usage,电脑使用
VFE_StrengthPlay.label,strength play,label,JoyKindDef/JoyKindDef.xml,def,Vanilla Furniture Expanded,strength play,力量发挥
Gaming_Electronic.label,electronic play,label,JoyKindDef/JoyKindDef.xml,def,Vanilla Furniture Expanded,electronic play,电子游戏
Tale_UsedPunchingBag.label,used punching bag,label,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,used punching bag,用过的沙袋
Tale_UsedPunchingBag.rulePack.rulesStrings.0,tale_noun->[PAWN_nameDef] taking out his anger on a [OBJECT_label],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_3)(PH_2) taking out his anger on a (PH_1),tale_noun->[PAWN_nameDef]将愤怒发泄在[OBJECT_label]上
Tale_UsedPunchingBag.rulePack.rulesStrings.1,tale_noun->[PAWN_nameDef] looking angrily at a [OBJECT_label],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_3)(PH_2) looking angrily at a (PH_1),tale_noun->[PAWN_nameDef]愤怒地看着[OBJECT_label]
Tale_UsedPunchingBag.rulePack.rulesStrings.2,tale_noun->[PAWN_nameDef] enjoying [PAWN_objective]self at a [OBJECT_label],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_4)(PH_3) enjoying (PH_2)self at a (PH_1),tale_noun->[PAWN_nameDef]在[OBJECT_label]享受[PAWN_objective]自己
Tale_UsedPunchingBag.rulePack.rulesStrings.3,"image->[PAWN_nameFull] poised over the [OBJECT_label], [circumstance_group]",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_4)(PH_3) poised over the (PH_2), (PH_1)",image->[PAWN_nameFull] 停在 [OBJECT_label]、[circumstance_group] 上方
Tale_UsedPunchingBag.rulePack.rulesStrings.4,"image->[PAWN_nameFull] punching the [OBJECT_label], [circumstance_group]",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_4)(PH_3) punching the (PH_2), (PH_1)",image->[PAWN_nameFull]猛击[OBJECT_label]、[circumstance_group]
Tale_UsedPunchingBag.rulePack.rulesStrings.5,circumstance_phrase->tense with energy,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_1)tense with energy,circumstance_phrase->充满能量的紧张
Tale_UsedPunchingBag.rulePack.rulesStrings.6,circumstance_phrase->[PAWN_possessive] body loose and relaxed,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)(PH_1) body loose and relaxed,circumstance_phrase->[PAWN_possessive]身体宽松
Tale_UsedPunchingBag.rulePack.rulesStrings.7,circumstance_phrase->gently massaging [PAWN_possessive] wrists,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)gently massaging (PH_1) wrists,circumstance_phrase->轻轻按摩[PAWN_possessive]手腕
Tale_UsedPunchingBag.rulePack.rulesStrings.8,circumstance_phrase->[angstyverb] with a [AdjectiveAngsty] expression,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_3)(PH_2) with a (PH_1) expression,circumstance_phrase->[angstyverb] 与 [AdjectiveAngsty] 表达式
Tale_UsedPunchingBag.rulePack.rulesStrings.9,circumstance_phrase->wrapping their hands in tape,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_1)wrapping their hands in tape,circumstance_phrase->用胶带缠住他们的手
Tale_UsedPunchingBag.rulePack.rulesStrings.10,circumstance_phrase->[angstyverb],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)(PH_1),circumstance_phrase->[angstyverb]
Tale_UsedPunchingBag.rulePack.rulesStrings.11,desc_sentence->A [Color] aurora shines in the background.,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)A (PH_1) aurora shines in the background.,desc_sentence->[Color]极光在背景中闪耀。
Tale_UsedPunchingBag.rulePack.rulesStrings.12,"desc_sentence->In the distance, a [Community] is visible.",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_2)In the distance, a (PH_1) is visible.",desc_sentence->在远处可以看到一个[Community]。
Tale_UsedPunchingBag.rulePack.rulesStrings.13,"desc_sentence->In the distance, a [TerrainFeature] is visible.",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_2)In the distance, a (PH_1) is visible.",desc_sentence->在远处可以看到一个[TerrainFeature]。
Tale_UsedPunchingBag.rulePack.rulesStrings.14,desc_sentence->[PAWN_nameDef]'s features are exaggerated.,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)(PH_1)'s features are exaggerated.,desc_sentence->[PAWN_nameDef]的特征被夸大了。
Tale_UsedPunchingBag.rulePack.rulesStrings.15,desc_sentence->[PAWN_nameDef] towers above the scene.,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)(PH_1) towers above the scene.,desc_sentence->[PAWN_nameDef] 位于场景上方。
Tale_UsedComputer.label,used computer,label,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,used computer,二手电脑
Tale_UsedComputer.rulePack.rulesStrings.0,tale_noun->[PAWN_nameDef] focusing heavily on the [OBJECT_label] in front of them,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_3)(PH_2) focusing heavily on the (PH_1) in front of them,tale_noun->[PAWN_nameDef] 重点关注前方的 [OBJECT_label]
Tale_UsedComputer.rulePack.rulesStrings.1,tale_noun->[PAWN_nameDef] looking angrily at a [OBJECT_label],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_3)(PH_2) looking angrily at a (PH_1),tale_noun->[PAWN_nameDef]愤怒地看着[OBJECT_label]
Tale_UsedComputer.rulePack.rulesStrings.2,tale_noun->[PAWN_nameDef] enjoying [PAWN_objective]self at a [OBJECT_label],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_4)(PH_3) enjoying (PH_2)self at a (PH_1),tale_noun->[PAWN_nameDef]在[OBJECT_label]享受[PAWN_objective]自己
Tale_UsedComputer.rulePack.rulesStrings.3,"image->[PAWN_nameFull] poised over the [OBJECT_label], [circumstance_group]",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_4)(PH_3) poised over the (PH_2), (PH_1)",image->[PAWN_nameFull] 停在 [OBJECT_label]、[circumstance_group] 上方
Tale_UsedComputer.rulePack.rulesStrings.4,"image->[PAWN_nameFull] typing heavily on the [OBJECT_label], [circumstance_group]",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_4)(PH_3) typing heavily on the (PH_2), (PH_1)",image->[PAWN_nameFull]在 [OBJECT_label]、[circumstance_group] 上大量打字
Tale_UsedComputer.rulePack.rulesStrings.5,circumstance_phrase->concentrating,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_1)concentrating,circumstance_phrase->集中注意力
Tale_UsedComputer.rulePack.rulesStrings.6,circumstance_phrase->[PAWN_possessive] body loose and relaxed,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)(PH_1) body loose and relaxed,circumstance_phrase->[PAWN_possessive]身体宽松
Tale_UsedComputer.rulePack.rulesStrings.7,circumstance_phrase->leaning back in [PAWN_possessive] chair,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)leaning back in (PH_1) chair,circumstance_phrase->靠在 [PAWN_possessive] 椅子上
Tale_UsedComputer.rulePack.rulesStrings.8,desc_sentence->A [Color] aurora shines in the background.,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)A (PH_1) aurora shines in the background.,desc_sentence->[Color]极光在背景中闪耀。
Tale_UsedComputer.rulePack.rulesStrings.9,"desc_sentence->In the distance, a [Community] is visible.",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_2)In the distance, a (PH_1) is visible.",desc_sentence->在远处可以看到一个[Community]。
Tale_UsedComputer.rulePack.rulesStrings.10,"desc_sentence->In the distance, a [TerrainFeature] is visible.",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_2)In the distance, a (PH_1) is visible.",desc_sentence->在远处可以看到一个[TerrainFeature]。
Tale_UsedComputer.rulePack.rulesStrings.11,desc_sentence->[PAWN_nameDef] focused on the screen.,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)(PH_1) focused on the screen.,desc_sentence->[PAWN_nameDef] 聚焦在屏幕上。
